ID,Product Type,Name,SKU,Price,Cost,Brand,Status,Visibility,Availability,Price Update,Weight
,product,BIRDMAN BCAA Y GLUTAMINA 405 GRS FRESA,,523.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN BCAA Y GLUTAMINA 405 GRS MORA LIMON,,523.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN CREATINA MONOHIDRATADA 450 GRS,,490.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN FALCON 1.17 KG CHAI,,830.0,,BIRDMAN,New,True,available,,1.17
,product,BIRDMAN FALCON 1.17 KG CHOCOLATE,,830.0,,BIRDMAN,New,True,available,,1.17
,product,BIRDMAN FALCON 1.17 KG FRESA,,830.0,,BIRDMAN,New,True,available,,1.17
,product,BIRDMAN FALCON 1.17 KG VAINILLA,,830.0,,BIRDMAN,New,True,available,,1.17
,product,BIRDMAN FALCON 510 GRS CHOCOLATE,,496.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN FALCON 510 GRS VAINILLA,,496.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN FALCON BAG 1.8 KG CHOCOLATE,,1198.0,,BIRDMAN,New,True,available,,1.8
,product,BIRDMAN FALCON BAG 1.8 KG VAINILLA,,1198.0,,BIRDMAN,New,True,available,,1.8
,product,BIRDMAN FALCON PERFORMANCE 1.14 KG CHOCOLATE,,876.0,,BIRDMAN,New,True,available,,1.14
,product,BIRDMAN FALCON PERFORMANCE 722 GRS CHOCOLATE,,606.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN FALCON PERFORMANCE BAG 1.9 KG CHOCOLATE,,1226.0,,BIRDMAN,New,True,available,,1.9
,product,BIRDMAN FALCON PERFORMANCE BAG 1.9 KG G VAINILLA,,1226.0,,BIRDMAN,New,True,available,,1.9
,product,"BIRDMAN FITMINGO 1,020GRS BLUEBERRY",,882.0,,BIRDMAN,New,True,available,,
,product,"BIRDMAN FITMINGO 1,020GRS MOKA",,882.0,,BIRDMAN,New,True,available,,
,product,"BIRDMAN FITMINGO 1,020GRS VAINILLA",,882.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN TOALLA DE SECADO RAPIDO GRIS,,93.0,,BIRDMAN,New,True,available,,
,product,BIRDMAN TOALLA DE SECADO RAPIDO NEGRA,,93.0,,BIRDMAN,New,True,available,,
,product,BPI 1.M.R. 25 SERV BERRY SPLASH,,242.0,,BPI SPORTS,New,True,available,,
,product,BPI BEST BCAA 30 SERV (300 grs) ARTIC ICE,,244.0,,BPI SPORTS,New,True,available,,
,product,BPI BEST BCAA 30 SERV (300 grs) BLUE RASPBERRY,,244.0,,BPI SPORTS,New,True,available,,
,product,BPI BEST BCAA 30 SERV (300 grs) FRUIT PUNCH,,244.0,,BPI SPORTS,New,True,available,,
