ID     ,Product Type ,Name                                                            ,SKU                                                                   ,Price   ,Cost   ,Brand            ,Status  ,Visibility ,Availability ,Price Update ,Weight
       ,product      ,BHP SHE FIT WOMAN PROTEIN 3 LBS VAINILLA                        ,BHP SHE FIT WOMAN PROTEIN 3 LBS VAINILLA                              , 654.32 , 451.0 ,BHP              ,New     ,True       ,available    ,             ,   1.360776
       ,product      ,BHP TESTROL ULTRA 120 TAB                                       ,BHP TESTROL ULTRA 120 TAB                                             , 374.47 , 258.0 ,BHP              ,New     ,True       ,available    ,             ,    
       ,product      ,BHP WHEY ULTRA 2 LB VAINILLA                                    ,BHP WHEY ULTRA 2 LB VAINILLA                                          , 473.07 , 326.0 ,BHP              ,New     ,True       ,available    ,             ,   2.0
       ,product      ,BHP WHEY ULTRA 5 LB PASTEL DE CHOCOLATE                         ,BHP WHEY ULTRA 5 LB PASTEL DE CHOCOLATE                               , 884.87 , 610.0 ,BHP              ,New     ,True       ,available    ,             ,   5.0
       ,product      ,BHP WHEY ULTRA 5LB FRESAS CON CREMA                             ,BHP WHEY ULTRA 5LB FRESAS CON CREMA                                   , 884.87 , 610.0 ,BHP              ,New     ,True       ,available    ,             ,   5.0
       ,product      ,BHP WHEY ULTRA 5LBS CHOCO PENUAT BUTTER                         ,BHP WHEY ULTRA 5LBS CHOCO PENUAT BUTTER                               , 884.87 , 610.0 ,BHP              ,New     ,True       ,available    ,             ,   2.26796
       ,product      ,BHP WHEY ULTRA BAG 5 LB COOKIES AND CREAM                       ,BHP WHEY ULTRA BAG 5 LB COOKIES AND CREAM                             , 761.62 , 525.0 ,BHP              ,New     ,True       ,available    ,             ,   5.0
       ,product      ,BHP WHEY ULTRA BAG 5 LB PASTEL DE CHOCOLATE                     ,BHP WHEY ULTRA BAG 5 LB PASTEL DE CHOCOLATE                           , 761.62 , 525.0 ,BHP              ,New     ,True       ,available    ,             ,   5.0
       ,product      ,BHP WHEY ULTRA BAG 5 LB VAINILLA                                ,BHP WHEY ULTRA BAG 5 LB VAINILLA                                      , 761.62 , 525.0 ,BHP              ,New     ,True       ,available    ,             ,   5.0
       ,product      ,BIRDMAN BCAA Y GLUTAMINA 405 GRS FRESA                          ,BIRDMAN BCAA Y GLUTAMINA 405 GRS FRESA                                , 758.72 , 523.0 ,BIRDMAN          ,New     ,True       ,available    ,             , 405.0
       ,product      ,BIRDMAN BCAA Y GLUTAMINA 405 GRS MORA LIMON                     ,BIRDMAN BCAA Y GLUTAMINA 405 GRS MORA LIMON                           , 758.72 , 523.0 ,BIRDMAN          ,New     ,True       ,available    ,             , 405.0
       ,product      ,BIRDMAN CREATINA MONOHIDRATADA 450 GRS                          ,BIRDMAN CREATINA MONOHIDRATADA 450 GRS                                , 710.87 , 490.0 ,BIRDMAN          ,New     ,True       ,available    ,             , 450.0
       ,product      ,BIRDMAN FALCON 1.17 KG CHAI                                     ,BIRDMAN FALCON 1.17 KG CHAI                                           ,1203.87 , 830.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.17
       ,product      ,BIRDMAN FALCON 1.17 KG CHOCOLATE                                ,BIRDMAN FALCON 1.17 KG CHOCOLATE                                      ,1203.87 , 830.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.17
       ,product      ,BIRDMAN FALCON 1.17 KG FRESA                                    ,BIRDMAN FALCON 1.17 KG FRESA                                          ,1203.87 , 830.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.17
       ,product      ,BIRDMAN FALCON 1.17 KG VAINILLA                                 ,BIRDMAN FALCON 1.17 KG VAINILLA                                       ,1203.87 , 830.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.17
       ,product      ,BIRDMAN FALCON 510 GRS CHOCOLATE                                ,BIRDMAN FALCON 510 GRS CHOCOLATE                                      , 719.57 , 496.0 ,BIRDMAN          ,New     ,True       ,available    ,             , 510.0
       ,product      ,BIRDMAN FALCON 510 GRS VAINILLA                                 ,BIRDMAN FALCON 510 GRS VAINILLA                                       , 719.57 , 496.0 ,BIRDMAN          ,New     ,True       ,available    ,             , 510.0
       ,product      ,BIRDMAN FALCON BAG 1.8 KG CHOCOLATE                             ,BIRDMAN FALCON BAG 1.8 KG CHOCOLATE                                   ,1737.47 ,1198.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.8
       ,product      ,BIRDMAN FALCON BAG 1.8 KG VAINILLA                              ,BIRDMAN FALCON BAG 1.8 KG VAINILLA                                    ,1737.47 ,1198.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.8
       ,product      ,BIRDMAN FALCON PERFORMANCE 1.14 KG CHOCOLATE                    ,BIRDMAN FALCON PERFORMANCE 1.14 KG CHOCOLATE                          ,1270.57 , 876.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.14
       ,product      ,BIRDMAN FALCON PERFORMANCE 722 GRS CHOCOLATE                    ,BIRDMAN FALCON PERFORMANCE 722 GRS CHOCOLATE                          , 879.07 , 606.0 ,BIRDMAN          ,New     ,True       ,available    ,             , 722.0
       ,product      ,BIRDMAN FALCON PERFORMANCE BAG 1.9 KG CHOCOLATE                 ,BIRDMAN FALCON PERFORMANCE BAG 1.9 KG CHOCOLATE                       ,1778.07 ,1226.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.9
       ,product      ,BIRDMAN FALCON PERFORMANCE BAG 1.9 KG G VAINILLA                ,BIRDMAN FALCON PERFORMANCE BAG 1.9 KG G VAINILLA                      ,1778.07 ,1226.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,   1.9
       ,product      ,"BIRDMAN FITMINGO 1,020GRS BLUEBERRY"                           ,"BIRDMAN FITMINGO 1,020GRS BLUEBERRY"                                 ,1279.27 , 882.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,1020.0
       ,product      ,"BIRDMAN FITMINGO 1,020GRS MOKA"                                ,"BIRDMAN FITMINGO 1,020GRS MOKA"                                      ,1279.27 , 882.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,1020.0
       ,product      ,"BIRDMAN FITMINGO 1,020GRS VAINILLA"                            ,"BIRDMAN FITMINGO 1,020GRS VAINILLA"                                  ,1279.27 , 882.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,1020.0
       ,product      ,BIRDMAN TOALLA DE SECADO RAPIDO GRIS                            ,BIRDMAN TOALLA DE SECADO RAPIDO GRIS                                  , 135.22 ,  93.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,    
       ,product      ,BIRDMAN TOALLA DE SECADO RAPIDO NEGRA                           ,BIRDMAN TOALLA DE SECADO RAPIDO NEGRA                                 , 135.22 ,  93.0 ,BIRDMAN          ,New     ,True       ,available    ,             ,    
       ,product      ,BPI 1.M.R. 25 SERV BERRY SPLASH                                 ,BPI 1.M.R. 25 SERV BERRY SPLASH                                       , 351.27 , 242.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  25.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) ARTIC ICE                       ,BPI BEST BCAA 30 SERV (300 GRS) ARTIC ICE                             , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) BLUE RASPBERRY                  ,BPI BEST BCAA 30 SERV (300 GRS) BLUE RASPBERRY                        , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) FRUIT PUNCH                     ,BPI BEST BCAA 30 SERV (300 GRS) FRUIT PUNCH                           , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) GRAPE                           ,BPI BEST BCAA 30 SERV (300 GRS) GRAPE                                 , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) LEMONADE                        ,BPI BEST BCAA 30 SERV (300 GRS) LEMONADE                              , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) PASSION FRUIT                   ,BPI BEST BCAA 30 SERV (300 GRS) PASSION FRUIT                         , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) SNOW CONE                       ,BPI BEST BCAA 30 SERV (300 GRS) SNOW CONE                             , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) SOUR CANDY                      ,BPI BEST BCAA 30 SERV (300 GRS) SOUR CANDY                            , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI BEST BCAA 30 SERV (300 grs) WATERMELON ICE                  ,BPI BEST BCAA 30 SERV (300 GRS) WATERMELON ICE                        , 354.17 , 244.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BPI CLA+CARNITINE 50 SERV FRUIT PUNCH                           ,BPI CLA+CARNITINE 50 SERV FRUIT PUNCH                                 , 365.77 , 252.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  50.0
       ,product      ,BPI CLA+CARNITINE 50 SERV RAINBOW ICE                           ,BPI CLA+CARNITINE 50 SERV RAINBOW ICE                                 , 365.77 , 252.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  50.0
       ,product      ,BPI CLA+CARNITINE 50 SERV SNOW CONE                             ,BPI CLA+CARNITINE 50 SERV SNOW CONE                                   , 365.77 , 252.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  50.0
       ,product      ,BPI CLA+CARNITINE 50 SERV WATERMELON                            ,BPI CLA+CARNITINE 50 SERV WATERMELON                                  , 365.77 , 252.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  50.0
       ,product      ,BPI CLA+CARNITINE SHREDDED 50 SERV FRUIT PUNCH                  ,BPI CLA+CARNITINE SHREDDED 50 SERV FRUIT PUNCH                        , 374.47 , 258.0 ,BPI SPORTS       ,New     ,True       ,available    ,             ,  50.0
